Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day
1,Renee Blundon (USA),F,FIM,,00:00,68 m,68 m,WHITE,68.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
2,Inge Verbruggen (BEL),F,FIM,,00:00,48 m,48 m,WHITE,48.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
3,Christie Catherine (AUS),F,FIM,,00:00,45 m,45 m,WHITE,45.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
4,Cristian Castaño Villa (COL),M,FIM,,00:00,78 m,78 m,WHITE,78.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
5,Pete Botman (NLD),M,FIM,,00:00,78 m,73 m,YELLOW,67.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
6,Antons Krauklis (LVA),M,FIM,,00:00,65 m,65 m,RED,0.0,DQBO,Red C cup (10th edition),Mixed Competition,2018-05-30
7,Irina Kapusta (RUS),F,CWT,,00:00,71 m,71 m,WHITE,71.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
8,Olga Rodnova (RUS),F,CWT,,00:00,67 m,67 m,WHITE,67.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
9,Nancy Gibson (GBR),F,CWT,,00:00,61 m,61 m,WHITE,61.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
10,Julia Tobler (CHE),F,CWT,,00:00,58 m,43 m,YELLOW,27.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
11,Ilja Ozolins (LVA),M,CWT,,00:00,42 m,42 m,WHITE,42.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
12,Yeongmo Kim (KOR),M,CWT,,00:00,50 m,50 m,WHITE,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
13,Sophia Van Coller (ZAF),F,CNF,,00:00,36 m,36 m,WHITE,36.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
14,Claire Walsh (IRL),F,CNF,,00:00,28 m,28 m,RED,0.0,DQBO (surface),Red C cup (10th edition),Mixed Competition,2018-05-30
15,Andriy Khvetkevych (USA),M,CNF,,00:00,56 m,56 m,WHITE,56.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
16,Hyunho Seong (KOR),M,CNF,,00:00,61 m,56 m,YELLOW,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-30
17,Ahmed Wahba (EGY),M,CNF,,00:00,46 m,46 m,WHITE,46.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-30
1,Renee Blundon (USA),F,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
2,Christie Catherine (AUS),F,FIM,,00:00,48 m,48 m,WHITE,48.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
3,Inge Verbruggen (BEL),F,FIM,,00:00,50 m,42 m,YELLOW,33.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
4,Cristian Castaño Villa (COL),M,FIM,,00:00,80 m,80 m,WHITE,80.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
5,Pete Botman (NLD),M,FIM,,00:00,75 m,75 m,WHITE,75.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
6,Adrien Le Flem (FRA),M,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
7,Leonid Kleshnin (RUS),M,FIM,,00:00,63 m,63 m,WHITE,63.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
8,Ahmed Wahba (EGY),M,FIM,,00:00,50 m,50 m,WHITE,50.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
9,Olga Rodnova (RUS),F,CWT,,00:00,71 m,71 m,WHITE,71.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
10,Julia Tobler (CHE),F,CWT,,00:00,57 m,57 m,WHITE,57.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
11,Hyunho Seong (KOR),M,CNF,,00:00,61 m,61 m,WHITE,61.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
12,Andriy Khvetkevych (USA),M,CNF,,00:00,61 m,61 m,WHITE,61.0,National record,Red C cup (10th edition),Mixed Competition,2018-05-31
13,Mathieu Maraio (FRA),M,CNF,,00:00,60 m,60 m,WHITE,60.0,-,Red C cup (10th edition),Mixed Competition,2018-05-31
14,Ilja Ozolins (LVA),M,CNF,,00:00,30 m,30 m,RED,0.0,DQBO,Red C cup (10th edition),Mixed Competition,2018-05-31
1,Jurgen Reinderink (NLD),M,FIM,,00:00,55 m,55 m,WHITE,55.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
2,Vincent Mathieu (FRA),M,FIM,,00:00,100 m,100 m,RED,0.0,DQSP,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
3,Jeongmin Park (KOR),M,FIM,,00:00,80 m,80 m,WHITE,80.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
4,Dongha Kim (KOR),M,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
5,Lady Nancy Lisondra (PHL),F,CNF,,00:00,32 m,32 m,WHITE,32.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
6,Ken Kiriyama (JPN),M,CNF,,00:00,67 m,61 m,YELLOW,44.0,"Early Turn, No Tag, 2x Grab",Freedive Panglao Staff Competition,Depth Competition,2018-05-24
7,Stefan Randig (DEU),M,CNF,,00:00,73 m,58 m,RED,0.0,DQPULL,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
8,Ahreum Moon (KOR),F,CWT,,00:00,35 m,35 m,WHITE,35.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
9,Marese Secades (PHL),F,CWT,,00:00,42 m,42 m,WHITE,42.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
10,Wanyu Yen (TPE),F,CWT,,00:00,45 m,45 m,WHITE,45.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
11,Martin Zapanta (PHL),M,CWT,,00:00,60 m,60 m,WHITE,60.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
12,Potti Dingfeng Liu (CHN),M,CWT,,00:00,70 m,70 m,WHITE,70.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
13,Wayne Tu (USA),M,CWT,,00:00,72 m,72 m,RED,0.0,DQPULL,Freedive Panglao Staff Competition,Depth Competition,2018-05-24
1,Gert Leroy (BEL),M,CNF,,00:00,50 m,50 m,WHITE,50.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
2,Stefan Randig (DEU),M,CNF,,00:00,73 m,73 m,WHITE,73.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
3,Martin Zapanta (PHL),M,FIM,,00:00,60 m,60 m,WHITE,60.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
4,Jurgen Reinderink (NLD),M,FIM,,00:00,60 m,60 m,WHITE,60.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
5,Paul Wai-Kei Sack (MYS),M,FIM,,00:00,68 m,68 m,WHITE,68.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
6,Jin (Sendoh) Wang (CHN),M,FIM,,00:00,96 m,67 m,YELLOW,37.0,"Early Turn, No Tag",Freedive Panglao Staff Competition,Depth Competition,2018-05-25
7,Vincent Mathieu (FRA),M,FIM,,00:00,100 m,96 m,RED,0.0,DQ Assisted,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
8,Jeongmin Park (KOR),M,FIM,,00:00,86 m,86 m,WHITE,86.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
9,Dongha Kim (KOR),M,FIM,,00:00,73 m,47 m,YELLOW,20.0,"Early Turn, No Tag",Freedive Panglao Staff Competition,Depth Competition,2018-05-25
10,Ahreum Moon (KOR),F,CWT,,00:00,40 m,40 m,WHITE,40.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
11,Anqi Lim (SGP),F,CWT,,00:00,60 m,60 m,WHITE,60.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
12,Jung A Kim (KOR),F,CWT,,00:00,70 m,70 m,WHITE,70.0,National Record,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
13,Wayne Tu (USA),M,CWT,,00:00,72 m,72 m,WHITE,72.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25
1,Tommy Tao Tian (CHN),M,FIM,,00:00,56 m,56 m,WHITE,56.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
2,Gert Leroy (BEL),M,FIM,,00:00,70 m,60 m,YELLOW,49.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
3,Ying Li (CHN),F,FIM,,00:00,56 m,56 m,WHITE,56.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
4,Leo Tsz Wai Leung (HKG),M,FIM,,00:00,70 m,70 m,RED,0.0,Double Turn,Asian Freediving Cup 2018,Depth Competition,2018-06-08
5,Thibault Guignes (FRA),M,FIM,,00:00,108 m,108 m,RED,0.0,SP,Asian Freediving Cup 2018,Depth Competition,2018-06-08
6,Ningning Li (USA),F,CWT,,00:00,40 m,40 m,WHITE,40.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
7,Shuting Yuan (CHN),F,CWT,,00:00,40 m,40 m,RED,0.0,DQBO,Asian Freediving Cup 2018,Depth Competition,2018-06-08
8,Tracy Lau (HKG),F,CWT,,00:00,44 m,44 m,WHITE,44.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
9,Aldric Vincent Suan (PHL),M,CWT,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
10,Wang Qi (CHN),F,CWT,,00:00,50 m,50 m,WHITE,50.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
11,Sangho Moon (KOR),M,CWT,,00:00,50 m,47 m,YELLOW,43.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
12,Wanyu Yen (TPE),F,CWT,,00:00,51 m,51 m,WHITE,51.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
13,Jurgen Reinderink (NLD),M,CWT,,00:00,62 m,62 m,WHITE,62.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
14,Xia Mao (CHN),F,CWT,,00:00,63 m,63 m,WHITE,63.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
15,Jingzhe Li (CHN),F,CWT,,00:00,70 m,58 m,YELLOW,45.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
16,Shuichi Goto (JPN),M,CWT,,00:00,72 m,17 m,YELLOW,0.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
17,Zhang Jiayuan (CHN),M,CWT,,00:00,75 m,73 m,RED,0.0,DQPULL,Asian Freediving Cup 2018,Depth Competition,2018-06-08
18,Komtanoo Pinpimai (THA),M,CWT,,00:00,80 m,80 m,WHITE,80.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
19,Stanley Sradaputta (IDN),M,CWT,,00:00,81 m,81 m NR,WHITE,81.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
20,Ken Kiriyama (JPN),M,CWT,,00:00,83 m,83 m,WHITE,83.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
21,Potti Dingfeng Liu (CHN),M,CWT,,00:00,83 m,83 m,WHITE,83.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
22,Lap Hing ( Chris ) Cheung (HKG),M,CWT,,00:00,85 m,77 m,YELLOW,68.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
23,Tongtong Xu (CHN),F,CWT,,00:00,86 m,86 m,WHITE,86.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
24,Jeongmin Park (KOR),M,CWT,,00:00,86 m,86 m,WHITE,86.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
25,Guang (Matt) Yang (CHN),M,CWT,,00:00,87 m,87 m,WHITE,87.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
26,Lady Nancy Lisondra (PHL),F,CWT,,00:00,40 m,40 m,RED,0.0,DQPULL,Asian Freediving Cup 2018,Depth Competition,2018-06-08
27,Genilyn Abanilla (PHL),F,CWT,,00:00,43 m,43 m,WHITE,43.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
28,Gyu-Tae Noh (KOR),M,CWT,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
29,Mitsuhiro Kojima (JPN),M,CWT,,00:00,48 m,48 m,WHITE,48.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
30,Maria Noella Zosa (PHL),F,CWT,,00:00,50 m,37 m,YELLOW,23.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
31,Bongjoo Kwak (KOR),M,CWT,,00:00,55 m,55 m,WHITE,55.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
32,Suzanne Lim (FRA),F,CWT,,00:00,60 m,60 m,WHITE,60.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
33,Anqi Lim (SGP),F,CWT,,00:00,62 m,62 m,WHITE,62.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
34,Paul Wai-Kei Sack (MYS),M,CWT,,00:00,65 m,65 m,WHITE,65.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
35,Seongjun Kang (KOR),M,CWT,,00:00,67 m,67 m,WHITE,67.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
36,Jung A Kim (KOR),F,CWT,,00:00,71 m,57 m,YELLOW,42.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
37,Jean-Pol Francois (BEL),M,CWT,,00:00,74 m,74 m,WHITE,74.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
38,Atsushi Kawai (JPN),M,CWT,,00:00,80 m,80 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-08
39,Zhang Yang(Amanda) (CHN),F,CWT,,00:00,80 m,80 m,WHITE,80.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
40,Costa Lin Zhu (CHN),M,CWT,,00:00,90 m,90 m,RED,0.0,DQBO,Asian Freediving Cup 2018,Depth Competition,2018-06-08
41,Davide Carrera (ITA),M,CWT,,00:00,93 m,79 m,YELLOW,64.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-08
42,Jihoon Jang (KOR),M,CWT,,00:00,93 m,93 m,WHITE,93.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-08
43,Jin (Sendoh) Wang (CHN),M,CWT,,00:00,95 m,95 m,WHITE,95.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
44,Jinyi Zhu (CHN),M,CWT,,00:00,90 m,90 m,WHITE,90.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
45,Nan Noah Zhang (CHN),M,CWT,,00:00,50 m,50 m,WHITE,50.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-08
1,Wang Qi (CHN),F,FIM,,00:00,40 m,40 m,WHITE,40.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
2,Tracy Lau (HKG),F,FIM,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
3,Suzanne Lim (FRA),F,FIM,,00:00,54 m,54 m,WHITE,54.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
4,Jingzhe Li (CHN),F,FIM,,00:00,56 m,56 m,WHITE,56.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
5,Anqi Lim (SGP),F,FIM,,00:00,58 m,58 m,WHITE,58.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
6,Jung A Kim (KOR),F,FIM,,00:00,62 m,62 m,WHITE,62.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
7,Gert Leroy (BEL),M,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
8,Leo Tsz Wai Leung (HKG),M,FIM,,00:00,75 m,75 m,WHITE,75.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
9,Jihoon Jang (KOR),M,FIM,,00:00,90 m,90 m,WHITE,90.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
10,Genilyn Abanilla (PHL),F,FIM,,00:00,30 m,30 m,WHITE,30.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
11,Aldric Vincent Suan (PHL),M,FIM,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
12,Maria Noella Zosa (PHL),F,FIM,,00:00,47 m,47 m,WHITE,47.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
13,Nan Noah Zhang (CHN),M,FIM,,00:00,50 m,43 m,YELLOW,35.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-09
14,Ningning Li (USA),F,FIM,,00:00,50 m,50 m,WHITE,50.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
15,Xia Mao (CHN),F,FIM,,00:00,55 m,55 m,WHITE,55.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
16,Ying Li (CHN),F,FIM,,00:00,60 m,60 m,WHITE,60.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
17,Davide Carrera (ITA),M,FIM,,00:00,66 m,66 m,WHITE,66.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
18,Jurgen Reinderink (NLD),M,FIM,,00:00,67 m,67 m,WHITE,67.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
19,Zhang Yang(Amanda) (CHN),F,FIM,,00:00,70 m,70 m,WHITE,70.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
20,Stanley Sradaputta (IDN),M,FIM,,00:00,75 m,75 m NR,WHITE,75.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
21,Potti Dingfeng Liu (CHN),M,FIM,,00:00,80 m,80 m,YELLOW,79.0,No Tag,Asian Freediving Cup 2018,Depth Competition,2018-06-09
22,Ken Kiriyama (JPN),M,FIM,,00:00,83 m,83 m,WHITE,83.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
23,Jin (Sendoh) Wang (CHN),M,FIM,,00:00,90 m,90 m,WHITE,90.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
24,Bongjoo Kwak (KOR),M,CNF,,00:00,50 m,50 m,WHITE,50.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
25,Naoto Yoshikawa (JPN),M,CNF,,00:00,50 m,50 m,RED,0.0,DQPULL,Asian Freediving Cup 2018,Depth Competition,2018-06-09
26,Lady Nancy Lisondra (PHL),F,CNF,,00:00,33 m,33 m,WHITE,33.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
27,Paul Wai-Kei Sack (MYS),M,CNF,,00:00,50 m,50 m,WHITE,50.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
28,Gyu-Tae Noh (KOR),M,CWT,,00:00,51 m,51 m,WHITE,51.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
29,Sangho Moon (KOR),M,CWT,,00:00,55 m,55 m,WHITE,55.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
30,Shuichi Goto (JPN),M,CWT,,00:00,72 m,72 m,WHITE,72.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
31,Seongjun Kang (KOR),M,CWT,,00:00,73 m,73 m,WHITE,73.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
32,Atsushi Kawai (JPN),M,CWT,,00:00,80 m,80 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-09
33,Lap Hing ( Chris ) Cheung (HKG),M,CWT,,00:00,85 m,85 m,WHITE,85.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
34,Jeongmin Park (KOR),M,CWT,,00:00,91 m,91 m,WHITE,91.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
35,Komtanoo Pinpimai (THA),M,CWT,,00:00,91 m,91 m,WHITE,91.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-09
36,Jinyi Zhu (CHN),M,FIM,,00:00,81 m,81 m,WHITE,81.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-09
1,Tracy Lau (HKG),F,FIM,,00:00,47 m,47 m,WHITE,47.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
2,Ying Li (CHN),F,FIM,,00:00,65 m,65 m,WHITE,65.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
3,Jurgen Reinderink (NLD),M,FIM,,00:00,72 m,72 m,WHITE,72.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
4,Leo Tsz Wai Leung (HKG),M,FIM,,00:00,80 m,80 m,RED,0.0,DQBO,Asian Freediving Cup 2018,Depth Competition,2018-06-10
5,Lady Nancy Lisondra (PHL),F,FIM,,00:00,47 m,47 m,WHITE,47.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
6,Tommy Tao Tian (CHN),M,FIM,,00:00,60 m,60 m,WHITE,60.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
7,Thibault Guignes (FRA),M,FIM,,00:00,108 m,108 m,WHITE,108.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
8,Jinyi Zhu (CHN),M,CNF,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
9,Suzanne Lim (FRA),F,CNF,,00:00,40 m,40 m,WHITE,40.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
10,Jung A Kim (KOR),F,CNF,,00:00,40 m,40 m,WHITE,40.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
11,Anqi Lim (SGP),F,CNF,,00:00,45 m,45 m,WHITE,45.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
12,Gert Leroy (BEL),M,CNF,,00:00,54 m,54 m,WHITE,54.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
13,Naoto Yoshikawa (JPN),M,CNF,,00:00,59 m,55 m,YELLOW,50.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-10
14,Jihoon Jang (KOR),M,CNF,,00:00,62 m,62 m,WHITE,62.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
15,Ken Kiriyama (JPN),M,CNF,,00:00,70 m,70 m,RED,0.0,DQBO,Asian Freediving Cup 2018,Depth Competition,2018-06-10
16,Ningning Li (USA),F,CNF,,00:00,30 m,30 m,WHITE,30.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
17,Aldric Vincent Suan (PHL),M,CNF,,00:00,30 m,30 m,WHITE,30.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
18,Sangho Moon (KOR),M,CNF,,00:00,31 m,31 m,WHITE,31.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
19,Jingzhe Li (CHN),F,CNF,,00:00,33 m,33 m,WHITE,33.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
20,Xia Mao (CHN),F,CNF,,00:00,38 m,38 m,RED,0.0,DQPULL,Asian Freediving Cup 2018,Depth Competition,2018-06-10
21,Nan Noah Zhang (CHN),M,CNF,,00:00,40 m,40 m,WHITE,40.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
22,Shuichi Goto (JPN),M,CNF,,00:00,50 m,11 m,YELLOW,0.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-10
23,Stanley Sradaputta (IDN),M,CNF,,00:00,51 m,51 m NR,WHITE,51.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
24,Jin (Sendoh) Wang (CHN),M,CNF,,00:00,65 m,65 m,WHITE,65.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
25,Costa Lin Zhu (CHN),M,CNF,,00:00,68 m,68 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-10
26,Bongjoo Kwak (KOR),M,CWT,,00:00,60 m,60 m,WHITE,60.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
27,Davide Carrera (ITA),M,CWT,,00:00,66 m,66 m,WHITE,66.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
28,Jean-Pol Francois (BEL),M,CWT,,00:00,77 m,77 m,WHITE,77.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
29,Seongjun Kang (KOR),M,CWT,,00:00,77 m,77 m,WHITE,77.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
30,Atsushi Kawai (JPN),M,CWT,,00:00,80 m,80 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-10
31,Guang (Matt) Yang (CHN),M,CWT,,00:00,89 m,89 m,WHITE,89.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
32,Lap Hing ( Chris ) Cheung (HKG),M,CWT,,00:00,90 m,90 m,WHITE,90.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
33,Box Zhoubo (CHN),M,CWT,,00:00,30 m,30 m,WHITE,30.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
34,Genilyn Abanilla (PHL),F,CWT,,00:00,45 m,45 m,WHITE,45.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
35,Maria Noella Zosa (PHL),F,CWT,,00:00,48 m,48 m,WHITE,48.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
36,Wanyu Yen (TPE),F,CWT,,00:00,54 m,54 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-10
37,Gyu-Tae Noh (KOR),M,CWT,,00:00,57 m,57 m,WHITE,57.0,-,Asian Freediving Cup 2018,Depth Competition,2018-06-10
38,Paul Wai-Kei Sack (MYS),M,CWT,,00:00,70 m,70 m,WHITE,70.0,National Record,Asian Freediving Cup 2018,Depth Competition,2018-06-10
39,Komtanoo Pinpimai (THA),M,CWT,,00:00,94 m,94 m,RED,0.0,DQSP,Asian Freediving Cup 2018,Depth Competition,2018-06-10
40,Jeongmin Park (KOR),M,CWT,,00:00,94 m,66 m,YELLOW,37.0,"Early Turn, No Tag",Asian Freediving Cup 2018,Depth Competition,2018-06-10
1,Ramón Carreño (ESP),M,FIM,,00:00,61 m,61 m,YELLOW,60.0,Early start,winter depth 2017,Depth Competition,2017-12-15
2,Odaiba Hussein (EGY),M,FIM,,00:00,55 m,45 m,YELLOW,34.0,Early turn,winter depth 2017,Depth Competition,2017-12-15
3,Abdullah Al Omran (KWT),M,FIM,,00:00,65 m,65 m,RED,0.0,DQSP,winter depth 2017,Depth Competition,2017-12-15
1,Ramón Carreño (ESP),M,FIM,,00:00,70 m,70 m,WHITE,70.0,-,winter depth 2017,Depth Competition,2017-12-16
2,Abdullah Al Omran (KWT),M,FIM,,00:00,65 m,65 m,WHITE,65.0,NATIONAL RECORD,winter depth 2017,Depth Competition,2017-12-16
3,Julia Tobler (CHE),F,CWT,,00:00,55 m,55 m,WHITE,55.0,NR,winter depth 2017,Depth Competition,2017-12-16
1,Yang Zhang (CHN),M,FIM,,00:00,25 m,25 m,WHITE,25.0,-,2018 OneFreedive depth challange,Depth Competition,2018-02-23
