diver,nationality,gender,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Shlomit Wallerstein ,ISR,F,2019-09-11,2023-05-22,6,0,0,0,0,0,4,22,0.0,0.0,0.0,0.0,0.0
Sidney Regis ,FRA,M,2019-06-22,2023-07-23,7,0,0,0,0,0,1,24,0.0,0.0,0.0,0.0,0.0
Simon Bennett ,CHL,M,2016-04-22,2022-08-11,9,3,0,0,3,0,5,53,5.660377358490566,0.0,0.0,5.660377358490566,0.0
Sofia Gomez ,COL,F,2016-11-05,2022-08-11,14,2,0,0,1,1,5,68,2.9411764705882355,0.0,0.0,1.4705882352941178,1.4705882352941178
Stefan Randig ,DEU,M,2016-07-24,2023-08-14,27,0,0,0,0,0,8,71,0.0,0.0,0.0,0.0,0.0
Stéphane Tourreau ,FRA,M,2016-04-22,2022-08-09,22,1,1,0,0,0,9,54,1.8518518518518519,1.8518518518518519,0.0,0.0,0.0
Sunkyoung Lee ,KOR,F,2019-06-09,2022-10-21,6,0,0,0,0,0,2,14,0.0,0.0,0.0,0.0,0.0
Sunyoung Kim ,KOR,F,2016-11-05,2023-06-24,21,5,1,0,2,2,10,57,8.771929824561404,1.7543859649122806,0.0,3.508771929824561,3.508771929824561
Suwon Kim ,KOR,F,2019-04-25,2022-03-24,12,0,0,0,0,0,1,25,0.0,0.0,0.0,0.0,0.0
Suyeol,Jacob) Lee (KOR,M,2016-11-05,2023-05-22,7,2,0,1,0,1,3,16,12.5,0.0,6.25,0.0,6.25
Suzanne Lim ,FRA,F,2017-06-03,2021-09-28,8,0,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.0
Syafidatul Azua Shafii ,MYS,F,2016-09-13,2022-08-14,10,0,0,0,0,0,2,22,0.0,0.0,0.0,0.0,0.0
Taein Kim ,KOR,M,2019-08-15,2023-03-10,7,1,0,0,1,0,4,20,5.0,0.0,0.0,5.0,0.0
Tanner Pedersen ,USA,M,2019-10-14,2023-05-26,6,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0
Tatiana Zemskikh ,RUS,F,2017-05-30,2021-07-20,14,1,0,0,1,0,4,32,3.125,0.0,0.0,3.125,0.0
Tatjana Skobo ,HRV,F,2019-09-12,2023-07-02,12,0,0,0,0,0,1,23,0.0,0.0,0.0,0.0,0.0
Tetsuo Hara ,JPN,M,2016-07-23,2022-08-11,11,2,2,0,0,0,3,34,5.882352941176471,5.882352941176471,0.0,0.0,0.0
Thibault Guignes ,FRA,M,2016-09-22,2023-05-26,37,4,0,0,0,4,12,100,4.0,0.0,0.0,0.0,4.0
Tom Peled ,ISR,M,2016-09-23,2022-09-17,8,2,0,0,2,0,3,16,12.5,0.0,0.0,12.5,0.0
Tomas Schiffer ,SWE,M,2017-08-08,2022-08-05,7,0,0,0,0,0,3,18,0.0,0.0,0.0,0.0,0.0
Tracy Lau ,HKG,F,2018-06-08,2022-06-19,7,0,0,0,0,0,1,16,0.0,0.0,0.0,0.0,0.0
Valère Normand ,FRA,M,2019-05-08,2023-06-30,6,2,0,0,0,2,7,30,6.666666666666667,0.0,0.0,0.0,6.666666666666667
Vasilis Bissas ,CYP,M,2019-03-03,2021-09-25,6,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0
Vera Giampietro ,CHE,F,2018-08-27,2022-10-26,6,0,0,0,0,0,2,24,0.0,0.0,0.0,0.0,0.0
Vincent Mathieu ,FRA,M,2016-06-18,2023-07-10,9,1,0,1,0,0,5,20,5.0,0.0,5.0,0.0,0.0
Vitomir Maričić ,HRV,M,2018-09-22,2023-05-15,12,0,0,0,0,0,2,30,0.0,0.0,0.0,0.0,0.0
Vladimir Soic ,HRV,M,2019-07-18,2022-07-11,9,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Walid Boudhiaf ,TUN,M,2016-06-04,2022-08-24,16,11,2,0,3,6,20,57,19.29824561403509,3.508771929824561,0.0,5.2631578947368425,10.526315789473685
Wayne Tu ,USA,M,2016-03-18,2023-03-16,7,1,0,0,1,0,3,18,5.555555555555555,0.0,0.0,5.555555555555555,0.0
William Trubridge ,NZL,M,2016-04-23,2022-08-11,36,11,1,0,8,2,35,139,7.913669064748201,0.7194244604316546,0.0,5.755395683453237,1.4388489208633093
William Winram ,CAN,M,2005-05-27,2023-08-14,36,0,0,0,0,0,13,92,0.0,0.0,0.0,0.0,0.0
Woongjin Kim ,KOR,M,2021-06-19,2022-10-21,6,0,0,0,0,0,2,12,0.0,0.0,0.0,0.0,0.0
Xavier Daru ,FRA,M,2020-07-25,2022-06-25,9,0,0,0,0,0,1,13,0.0,0.0,0.0,0.0,0.0
Yixian Zhang ,TPE,M,2019-10-16,2023-03-16,7,1,0,0,1,0,2,24,4.166666666666667,0.0,0.0,4.166666666666667,0.0
Yongju Lee ,KOR,F,2019-09-21,2022-10-21,7,0,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.0
Yuki Muto ,JPN,F,2016-07-23,2023-04-04,25,11,9,0,1,1,16,60,18.333333333333332,15.0,0.0,1.6666666666666667,1.6666666666666667
Yukine Toshinaga ,JPN,F,2019-07-20,2022-09-30,6,0,0,0,0,0,1,18,0.0,0.0,0.0,0.0,0.0
Yunam Cha ,KOR,M,2018-08-16,2022-07-17,8,2,0,0,2,0,3,21,9.523809523809524,0.0,0.0,9.523809523809524,0.0
Zoya Golovnya ,RUS,F,2014-05-15,2021-07-20,7,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0
