diver,nationality,gender,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Claire Beatrix Paris ,USA,F,2015-05-11,2022-08-03,6,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0
Clementine Marie ,FRA,F,2021-07-11,2023-07-23,6,0,0,0,0,0,1,21,0.0,0.0,0.0,0.0,0.0
Cornelius Friesendorf ,DEU,M,2016-09-23,2022-07-29,15,0,0,0,0,0,1,32,0.0,0.0,0.0,0.0,0.0
Costa Lin Zhu ,CHN,M,2017-09-17,2023-07-07,11,4,1,0,2,1,6,25,16.0,4.0,0.0,8.0,4.0
Cristian Castaño Villa ,COL,M,2016-09-22,2023-05-03,18,5,1,1,1,2,10,49,10.204081632653061,2.0408163265306123,2.0408163265306123,2.0408163265306123,4.081632653061225
Daniel Koval ,USA,M,2017-08-19,2022-05-24,6,3,1,1,0,1,3,18,16.666666666666668,5.555555555555555,5.555555555555555,0.0,5.555555555555555
Darja Tjioe ,NLD,F,2017-11-27,2022-09-18,6,0,0,0,0,0,2,17,0.0,0.0,0.0,0.0,0.0
David Mellor ,GBR,M,2018-07-08,2023-04-04,17,0,0,0,0,0,1,44,0.0,0.0,0.0,0.0,0.0
David Tranfield ,GBR,M,2016-10-08,2022-09-23,21,1,0,0,1,0,9,46,2.1739130434782608,0.0,0.0,2.1739130434782608,0.0
Davide Carrera ,ITA,M,2016-05-26,2022-08-10,15,1,1,0,0,0,6,45,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0
Dean Chaouche ,GBR,M,2016-11-07,2022-10-15,18,10,2,0,6,2,18,54,18.51851851851852,3.7037037037037037,0.0,11.11111111111111,3.7037037037037037
Dean Chipolina ,GBR,M,2018-09-22,2023-07-23,7,0,0,0,0,0,1,17,0.0,0.0,0.0,0.0,0.0
Dino Maksan ,HRV,M,2012-08-04,2021-08-10,8,0,0,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0
Donghyeong Kim ,KOR,M,2019-09-21,2022-10-21,7,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0
Eddy Laffin ,FRA,M,2017-08-26,2023-06-24,9,1,0,0,1,0,2,12,8.333333333333334,0.0,0.0,8.333333333333334,0.0
Elisabeth Hummel ,DEU,F,2014-09-19,2021-08-29,15,1,1,0,0,0,1,29,3.4482758620689653,3.4482758620689653,0.0,0.0,0.0
Enchante Gallardo ,USA,F,2019-04-25,2023-05-17,11,0,0,0,0,0,3,45,0.0,0.0,0.0,0.0,0.0
Eunjung Park ,KOR,F,2017-10-28,2022-10-21,8,0,0,0,0,0,1,14,0.0,0.0,0.0,0.0,0.0
Eva Andre ,FRA,F,2019-06-22,2023-07-22,8,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0
Evgeny Sychev ,RUS,M,2017-05-30,2021-09-16,23,0,0,0,0,0,6,52,0.0,0.0,0.0,0.0,0.0
Fatima Korok ,HUN,F,2018-11-16,2023-06-16,12,2,0,0,2,0,3,32,6.25,0.0,0.0,6.25,0.0
Fayrouz El Mehdawi ,GRC,F,2018-09-16,2022-09-21,7,0,0,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0
Florian Burghardt ,CHE,M,2017-05-25,2023-06-17,11,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0
Gary Mcgrath ,GBR,M,2008-07-12,2022-08-10,7,0,0,0,0,0,1,18,0.0,0.0,0.0,0.0,0.0
Georgina Miller ,GBR,F,2016-11-05,2023-04-30,44,0,0,0,0,0,2,135,0.0,0.0,0.0,0.0,0.0
Gimun Kwak ,KOR,M,2019-10-05,2022-10-03,8,1,0,1,0,0,3,15,6.666666666666667,0.0,6.666666666666667,0.0,0.0
Guillaume Néry ,FRA,M,2010-07-06,2023-06-24,33,1,1,0,0,0,3,65,1.5384615384615385,1.5384615384615385,0.0,0.0,0.0
Hanako Hirose ,JPN,F,2016-04-22,2023-03-17,22,2,1,1,0,0,4,59,3.389830508474576,1.694915254237288,1.694915254237288,0.0,0.0
Heechan Kim ,KOR,M,2017-08-08,2022-10-09,8,3,2,0,0,1,5,16,18.75,12.5,0.0,0.0,6.25
Homar Leuci ,ITA,M,2016-04-22,2022-10-05,11,3,2,0,1,0,7,35,8.571428571428571,5.714285714285714,0.0,2.857142857142857,0.0
Hou I Ming ,TPE,F,2019-06-09,2023-03-17,10,0,0,0,0,0,1,29,0.0,0.0,0.0,0.0,0.0
